timestamp,tx_id,active_power_mw,current_amps
2024-01-01 18:00:00+00:00,brighton_local_33kv_gt1,25.09,411.96
2024-01-01 18:00:00+00:00,brighton_local_33kv_gt2,23.78,405.8
2024-01-01 18:30:00+00:00,brighton_local_33kv_gt2,23.49,399.88
2024-01-01 18:30:00+00:00,brighton_local_33kv_gt1,24.8,406.0
2024-01-01 19:00:00+00:00,brighton_local_33kv_gt2,23.02,393.96
2024-01-01 19:00:00+00:00,brighton_local_33kv_gt1,24.24,400.04
2024-01-01 19:30:00+00:00,brighton_local_33kv_gt2,22.29,386.41
2024-01-01 19:30:00+00:00,brighton_local_33kv_gt1,23.52,391.78
2024-01-01 20:00:00+00:00,brighton_local_33kv_gt1,22.8,377.33
2024-01-01 20:00:00+00:00,brighton_local_33kv_gt2,21.56,373.96
2024-01-01 20:30:00+00:00,brighton_local_33kv_gt1,22.08,362.54
2024-01-01 20:30:00+00:00,brighton_local_33kv_gt2,20.83,361.19
2024-01-01 21:00:00+00:00,brighton_local_33kv_gt2,20.09,348.41
2024-01-01 21:00:00+00:00,brighton_local_33kv_gt1,21.36,347.74
2024-01-01 21:30:00+00:00,brighton_local_33kv_gt2,19.36,335.63
2024-01-01 21:30:00+00:00,brighton_local_33kv_gt1,20.64,332.97
2024-01-01 22:00:00+00:00,brighton_local_33kv_gt2,18.63,322.85
2024-01-01 22:00:00+00:00,brighton_local_33kv_gt1,19.92,321.11
2024-01-01 22:30:00+00:00,brighton_local_33kv_gt2,17.9,310.07
2024-01-01 22:30:00+00:00,brighton_local_33kv_gt1,19.19,311.24
2024-01-01 23:00:00+00:00,brighton_local_33kv_gt1,18.47,301.37
2024-01-01 23:00:00+00:00,brighton_local_33kv_gt2,17.16,297.29
2024-01-01 23:30:00+00:00,brighton_local_33kv_gt2,16.56,284.57
2024-01-01 23:30:00+00:00,brighton_local_33kv_gt1,17.75,291.49
2024-01-02 00:00:00+00:00,brighton_local_33kv_gt1,17.04,281.62
2024-01-02 00:00:00+00:00,brighton_local_33kv_gt2,16.25,276.45
2024-01-02 00:30:00+00:00,brighton_local_33kv_gt1,16.43,271.75
2024-01-02 00:30:00+00:00,brighton_local_33kv_gt2,15.95,271.19
2024-01-02 01:00:00+00:00,brighton_local_33kv_gt2,15.65,265.89
2024-01-02 01:00:00+00:00,brighton_local_33kv_gt1,15.88,261.88
2024-01-02 01:30:00+00:00,brighton_local_33kv_gt1,15.4,252.13
2024-01-02 01:30:00+00:00,brighton_local_33kv_gt2,15.35,254.03
2024-01-02 02:00:00+00:00,brighton_local_33kv_gt1,15.13,249.71
2024-01-02 02:00:00+00:00,brighton_local_33kv_gt2,15.05,246.21
2024-01-02 02:30:00+00:00,brighton_local_33kv_gt2,14.75,243.33
2024-01-02 02:30:00+00:00,brighton_local_33kv_gt1,14.88,251.6
2024-01-02 03:00:00+00:00,brighton_local_33kv_gt1,14.62,253.49
2024-01-02 03:00:00+00:00,brighton_local_33kv_gt2,14.48,240.45
2024-01-02 03:30:00+00:00,brighton_local_33kv_gt2,14.56,237.58
2024-01-02 03:30:00+00:00,brighton_local_33kv_gt1,14.4,255.38
2024-01-02 04:00:00+00:00,brighton_local_33kv_gt1,14.58,257.27
2024-01-02 04:00:00+00:00,brighton_local_33kv_gt2,14.76,234.7
2024-01-02 04:30:00+00:00,brighton_local_33kv_gt1,14.84,259.16
2024-01-02 04:30:00+00:00,brighton_local_33kv_gt2,14.97,234.25
2024-01-02 05:00:00+00:00,brighton_local_33kv_gt1,15.1,261.04
2024-01-02 05:00:00+00:00,brighton_local_33kv_gt2,15.18,240.19
2024-01-02 05:30:00+00:00,brighton_local_33kv_gt2,15.38,247.32
2024-01-02 05:30:00+00:00,brighton_local_33kv_gt1,15.37,262.93
2024-01-02 06:00:00+00:00,brighton_local_33kv_gt1,16.1,271.08
2024-01-02 06:00:00+00:00,brighton_local_33kv_gt2,15.96,269.06
2024-01-02 06:30:00+00:00,brighton_local_33kv_gt1,17.33,289.49
2024-01-02 06:30:00+00:00,brighton_local_33kv_gt2,17.05,286.62
2024-01-02 07:00:00+00:00,brighton_local_33kv_gt2,18.15,304.75
2024-01-02 07:00:00+00:00,brighton_local_33kv_gt1,18.57,308.04
2024-01-02 07:30:00+00:00,brighton_local_33kv_gt1,19.8,326.6
2024-01-02 07:30:00+00:00,brighton_local_33kv_gt2,19.25,324.57
2024-01-02 08:00:00+00:00,brighton_local_33kv_gt1,21.06,346.43
2024-01-02 08:00:00+00:00,brighton_local_33kv_gt2,20.34,345.05
2024-01-02 08:30:00+00:00,brighton_local_33kv_gt2,21.86,371.11
2024-01-02 08:30:00+00:00,brighton_local_33kv_gt1,22.54,372.56
2024-01-02 09:00:00+00:00,brighton_local_33kv_gt1,23.41,391.26
